Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src,28,1644,1126,869,68,347,1,171,416,21,21
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\activforms,9,522,359,288,14,113,0,50,141,9,9
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\activforms\engines,3,248,161,143,3,43,0,44,120,9,9
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas,19,1122,767,581,54,234,1,121,275,12,12
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\adaptation,2,83,51,33,0,21,0,11,22,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\adaptation\simple,2,83,51,33,0,21,0,11,22,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\configuration,4,388,266,227,18,78,0,44,92,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services,13,651,450,321,36,135,1,66,161,6,6
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\alarm,1,17,12,8,0,5,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\assistance,3,259,175,119,9,46,0,38,83,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\drug,1,22,16,10,0,6,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\log,2,149,106,83,7,27,0,16,39,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\medical,1,21,15,11,1,6,0,0,0,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\profiles,2,85,53,35,6,22,1,10,22,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\projectRefs\TeleAssistanceSystem\src\tas\services\qos,3,98,73,55,13,23,0,2,17,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src,23,5701,4100,3216,332,1186,9,415,812,15,96
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\TAS_gui\build\project\src\application,23,5701,4100,3216,332,1186,9,415,812,15,96
